"","Animal.ID","Session","Unit.ID","Date","Time","Latitude","Longitude","posix","UTM.E","UTM.N","ID_Session"
"8603","15.01",1,"gt-120",2015-11-11,"10:51:09 PM",41.909042,-124.201256,2015-11-11 22:51:09,400372.483585755,4640374.99626694,"15.01_1"
"13587","15.01",1,"gt-120",2015-11-12,"7:09:33 AM",41.908989,-124.202789,2015-11-12 07:09:33,400245.257935777,4640370.89362023,"15.01_1"
"14403","15.02",1,"gt-120",2016-01-12,"12:14:28 AM",41.91289,-124.20483,2016-01-12 00:14:28,400082.067185659,4640806.39688092,"15.02_1"
"14433","15.02",1,"gt-120",2016-01-13,"7:49:14 PM",41.91283,-124.20474,2016-01-13 19:49:14,400089.437525106,4640799.63023345,"15.02_1"
"14444","15.02",1,"gt-120",2016-01-14,"12:23:03 PM",41.91296,-124.20478,2016-01-14 12:23:03,400086.322995162,4640814.11071607,"15.02_1"
"14455","15.02",1,"gt-120",2016-01-15,"2:54:00 PM",41.91326,-124.20471,2016-01-15 14:54:00,400092.596174122,4640847.33812047,"15.02_1"
"14501","15.03",1,"gt-120",2015-12-20,"2:33:23 PM",41.881397,-124.204712,2015-12-20 14:33:23,400042.748739808,4637309.60548657,"15.03_1"
"14534","15.03",1,"gt-120",2015-12-21,"6:52:33 PM",41.884407,-124.204689,2015-12-21 18:52:33,400049.348972337,4637643.77687379,"15.03_1"
"14559","15.03",1,"gt-120",2015-12-22,"3:30:34 PM",41.884407,-124.204742,2015-12-22 15:30:34,400044.951596117,4637643.83861224,"15.03_1"
"14601","15.03",1,"gt-120",2015-12-23,"7:26:39 PM",41.884323,-124.204712,2015-12-23 19:26:39,400047.309735454,4637634.47720252,"15.03_1"
"14613","15.03",1,"gt-120",2015-12-24,"5:31:21 PM",41.88456,-124.204712,2015-12-24 17:31:21,400047.679178218,4637660.79115229,"15.03_1"
"14630","15.03",1,"gt-120",2015-12-25,"6:51:25 AM",41.884315,-124.204613,2015-12-25 06:51:25,400055.511243516,4637633.4736503,"15.03_1"
"14686","15.03",1,"gt-120",2015-12-26,"8:32:22 PM",41.884518,-124.204689,2015-12-26 20:32:22,400049.521999259,4637656.10112877,"15.03_1"
"14705","15.03",1,"gt-120",2015-12-27,"7:38:56 PM",41.884613,-124.204857,2015-12-27 19:38:56,400035.731277504,4637666.84462349,"15.03_1"
"14764","15.03",1,"gt-120",2015-12-28,"6:59:29 PM",41.884274,-124.205048,2015-12-28 18:59:29,400019.355589114,4637629.42821751,"15.03_1"
"14774","15.03",1,"gt-120",2015-12-29,"8:10:15 AM",41.884483,-124.205231,2015-12-29 08:10:15,400004.498099504,4637652.84659378,"15.03_1"
"14824","15.03",1,"gt-120",2015-12-30,"4:51:14 PM",41.884384,-124.204773,2015-12-30 16:51:14,400042.343690992,4637641.32105023,"15.03_1"
"14858","15.03",1,"gt-120",2015-12-31,"5:09:54 PM",41.884232,-124.204796,2015-12-31 17:09:54,400040.198436862,4637624.471387,"15.03_1"
"14917","15.03",1,"gt-120",2016-01-01,"6:41:28 PM",41.884338,-124.205177,2016-01-01 18:41:28,400008.752322344,4637636.68441273,"15.03_1"
"14943","15.03",1,"gt-120",2016-01-02,"8:35:34 AM",41.884312,-124.20504,2016-01-02 08:35:34,400020.078596911,4637633.63801023,"15.03_1"
"14970","15.03",2,"gt-120",2016-01-24,"11:25:43 PM",41.878498,-124.201118,2016-01-24 23:25:43,400336.449444487,4636983.55150702,"15.03_2"
"14978","15.03",2,"gt-120",2016-01-25,"6:06:35 PM",41.877956,-124.201744,2016-01-25 18:06:35,400283.663141738,4636924.1008904,"15.03_2"
"14988","15.03",2,"gt-120",2016-01-26,"2:34:55 PM",41.883808,-124.205742,2016-01-26 14:34:55,399961.047699933,4637578.49743381,"15.03_2"
"14999","15.03",2,"gt-120",2016-01-27,"1:43:51 PM",41.884331,-124.205597,2016-01-27 13:43:51,399973.89423177,4637636.39672821,"15.03_2"
"15017","15.03",2,"gt-120",2016-01-28,"8:40:25 PM",41.88451,-124.204773,2016-01-28 20:40:25,400042.540113571,4637655.31074509,"15.03_2"
"15026","15.03",2,"gt-120",2016-01-29,"5:32:12 PM",41.884377,-124.204956,2016-01-29 17:32:12,400027.149378082,4637640.7570437,"15.03_2"
"15030","15.03",2,"gt-120",2016-01-30,"5:25:58 AM",41.88438,-124.204887,2016-01-30 05:25:58,400032.878943995,4637641.00974146,"15.03_2"
"15048","15.03",2,"gt-120",2016-01-31,"10:37:11 PM",41.884964,-124.204529,2016-01-31 22:37:11,400063.492210957,4637705.43384553,"15.03_2"
"15054","15.03",2,"gt-120",2016-02-01,"5:19:39 PM",41.88578,-124.205238,2016-02-01 17:19:39,400005.940027905,4637796.85980422,"15.03_2"
"15066","15.03",2,"gt-120",2016-02-02,"2:57:13 PM",41.885376,-124.204948,2016-02-02 14:57:13,400029.370723167,4637751.66602657,"15.03_2"
"15086","15.03",2,"gt-120",2016-02-03,"8:38:55 PM",41.885502,-124.204979,2016-02-03 20:38:55,400026.995171783,4637765.69184261,"15.03_2"
"15091","15.03",2,"gt-120",2016-02-04,"7:32:41 AM",41.885437,-124.204926,2016-02-04 07:32:41,400031.29112891,4637758.41318439,"15.03_2"
"15104","15.03",2,"gt-120",2016-02-05,"1:10:27 PM",41.885464,-124.20504,2016-02-05 13:10:27,400021.87487417,4637761.54380262,"15.03_2"
"15119","15.03",2,"gt-120",2016-02-06,"2:37:11 PM",41.885502,-124.204636,2016-02-06 14:37:11,400055.453177115,4637765.29225779,"15.03_2"
"15135","15.03",2,"gt-120",2016-02-07,"12:26:19 PM",41.885712,-124.204903,2016-02-07 12:26:19,400033.628149437,4637788.91945779,"15.03_2"
"15154","15.03",2,"gt-120",2016-02-08,"9:07:55 AM",41.885597,-124.204712,2016-02-08 09:07:55,400049.295705377,4637775.92857344,"15.03_2"
"15169","15.03",2,"gt-120",2016-02-09,"2:33:56 AM",41.883659,-124.203621,2016-02-09 02:33:56,400136.795310262,4637559.48343986,"15.03_2"
"15194","15.03",2,"gt-120",2016-02-10,"6:33:26 AM",41.87785,-124.201782,2016-02-10 06:33:26,400280.345176216,4636912.37595199,"15.03_2"
"15206","15.03",2,"gt-120",2016-02-11,"5:14:32 AM",41.877766,-124.201256,2016-02-11 05:14:32,400323.860970376,4636902.43841724,"15.03_2"
"15217","15.03",2,"gt-120",2016-02-12,"4:04:51 AM",41.877949,-124.201775,2016-02-12 04:04:51,400281.079949154,4636923.3597077,"15.03_2"
"15233","15.03",2,"gt-120",2016-02-13,"3:05:48 PM",41.877689,-124.200592,2016-02-13 15:05:48,400378.838722571,4636893.11814732,"15.03_2"
"15250","15.03",2,"gt-120",2016-02-14,"9:37:41 PM",41.878956,-124.201927,2016-02-14 21:37:41,400270.033264791,4637035.34274806,"15.03_2"
"15260","15.03",2,"gt-120",2016-02-15,"8:34:33 AM",41.878124,-124.200912,2016-02-15 08:34:33,400352.961613158,4636941.78736706,"15.03_2"
"15276","15.03",2,"gt-120",2016-02-16,"2:56:16 AM",41.877888,-124.201614,2016-02-16 02:56:16,400294.344528756,4636916.3998572,"15.03_2"
"15292","15.03",2,"gt-120",2016-02-17,"4:47:08 AM",41.877823,-124.201149,2016-02-17 04:47:08,400332.828189516,4636908.64280577,"15.03_2"
"15322","15.11",1,"gt-120",2016-01-08,"3:18:47 PM",41.885098,-124.200287,2016-01-08 15:18:47,400415.653274153,4637715.3798254,"15.11_1"
"78","15.12",1,"gt-600",2015-07-21,"6:53:48 PM",41.898651,-124.204185,2015-07-21 18:53:48,400113.362879489,4639224.69344044,"15.12_1"
"175","15.12",1,"gt-600",2015-07-22,"2:34:34 PM",41.899612,-124.2034,2015-07-22 14:34:34,400179.976186728,4639330.47909963,"15.12_1"
"266","15.12",1,"gt-600",2015-07-23,"8:50:29 AM",41.905922,-124.198807,2015-07-23 08:50:29,400570.755514265,4640025.74156905,"15.12_1"
"372","15.12",1,"gt-600",2015-07-24,"3:47:54 PM",41.906136,-124.198479,2015-07-24 15:47:54,400598.292325981,4640049.12173974,"15.12_1"
"417","15.12",1,"gt-600",2015-07-25,"1:23:42 AM",41.905643,-124.198662,2015-07-25 01:23:42,400582.34912001,4639994.59620262,"15.12_1"
"552","15.12",1,"gt-600",2015-07-26,"1:23:37 PM",41.908058,-124.201073,2015-07-26 13:23:37,400386.131162567,4640265.5304242,"15.12_1"
"686","15.12",1,"gt-600",2015-07-27,"10:03:37 PM",41.905205,-124.203377,2015-07-27 22:03:37,400190.595972999,4639951.44117454,"15.12_1"
"713","15.12",1,"gt-600",2015-07-28,"2:56:44 AM",41.905151,-124.198891,2015-07-28 02:56:44,400562.591885143,4639940.23505968,"15.12_1"
"832","15.12",1,"gt-600",2015-07-29,"1:01:38 PM",41.906204,-124.205338,2015-07-29 13:01:38,400029.504588626,4640064.64369229,"15.12_1"
"976","15.12",2,"gt-600",2015-08-04,"10:27:53 PM",41.908806,-124.198723,2015-08-04 22:27:53,400582.197921087,4640345.85391423,"15.12_2"
"1017","15.12",2,"gt-600",2015-08-05,"8:14:30 AM",41.908092,-124.201103,2015-08-05 08:14:30,400383.695866581,4640269.34027977,"15.12_2"
"1120","15.12",2,"gt-600",2015-08-06,"4:04:45 AM",41.906261,-124.19902,2015-08-06 04:04:45,400553.615146479,4640063.62758113,"15.12_2"
"1290","15.12",2,"gt-600",2015-08-07,"8:46:31 PM",41.906963,-124.199135,2015-08-07 20:46:31,400545.166630881,4640141.7037826,"15.12_2"
"1313","15.12",2,"gt-600",2015-08-08,"1:44:05 AM",41.908604,-124.19812,2015-08-08 01:44:05,400631.896076486,4640322.7270908,"15.12_2"
"1478","15.12",2,"gt-600",2015-08-09,"9:50:09 PM",41.906067,-124.198357,2015-08-09 21:50:09,400608.304116399,4640041.31930702,"15.12_2"
"1565","15.12",2,"gt-600",2015-08-10,"9:13:16 PM",41.906563,-124.204338,2015-08-10 21:13:16,400113.005418991,4640103.33827246,"15.12_2"
"1607","15.12",2,"gt-600",2015-08-11,"4:07:45 AM",41.904873,-124.204819,2015-08-11 04:07:45,400070.47519581,4639916.25833689,"15.12_2"
"1664","15.12",2,"gt-600",2015-08-12,"12:32:26 AM",41.905087,-124.199112,2015-08-12 00:32:26,400544.162253923,4639933.38539669,"15.12_2"
"1711","15.12",3,"gt-600",2015-10-31,"2:09:09 AM",41.904549,-124.203796,2015-10-31 02:09:09,400154.820869056,4639879.09335677,"15.12_3"
"1859","15.12",3,"gt-600",2015-11-01,"4:34:05 PM",41.904663,-124.205414,2015-11-01 16:34:05,400020.796513712,4639893.6354859,"15.12_3"
"1909","15.12",3,"gt-600",2015-11-02,"2:03:04 PM",41.904675,-124.205399,2015-11-02 14:03:04,400022.059384885,4639894.95035779,"15.12_3"
"2027","15.12",3,"gt-600",2015-11-03,"8:13:09 PM",41.901417,-124.204483,2015-11-03 20:13:09,400092.955728712,4639532.14838973,"15.12_3"
"2095","15.12",3,"gt-600",2015-11-04,"6:28:04 PM",41.899441,-124.205566,2015-11-04 18:28:04,400000.040356818,4639314.01581969,"15.12_3"
"2178","15.12",3,"gt-600",2015-11-05,"7:49:02 PM",41.905323,-124.203232,2015-11-05 19:49:02,400202.806416591,4639964.37395686,"15.12_3"
"2235","15.12",3,"gt-600",2015-11-06,"5:08:26 AM",41.905495,-124.203941,2015-11-06 05:08:26,400144.268397594,4639984.29625642,"15.12_3"
"2357","15.12",3,"gt-600",2015-11-07,"9:44:55 AM",41.906628,-124.2043,2015-11-07 09:44:55,400116.258498042,4640110.5109506,"15.12_3"
"2450","15.12",3,"gt-600",2015-11-08,"7:07:50 PM",41.906254,-124.204269,2015-11-08 19:07:50,400118.246616726,4640068.94973026,"15.12_3"
"2483","15.12",3,"gt-600",2015-11-09,"1:28:19 PM",41.905685,-124.205322,2015-11-09 13:28:19,400030.021862659,4640007.00061568,"15.12_3"
"2579","15.12",3,"gt-600",2015-11-10,"5:55:54 PM",41.904308,-124.204735,2015-11-10 17:55:54,400076.561292399,4639853.42869535,"15.12_3"
"2674","15.12",3,"gt-600",2015-11-11,"9:25:52 PM",41.903877,-124.20546,2015-11-11 21:25:52,400015.754650555,4639806.41976621,"15.12_3"
"2729","15.12",3,"gt-600",2015-11-12,"8:12:49 PM",41.903126,-124.204308,2015-11-12 20:12:49,400110.135592397,4639721.69425383,"15.12_3"
"2804","15.12",3,"gt-600",2015-11-13,"10:57:53 PM",41.902988,-124.204514,2015-11-13 22:57:53,400092.83373435,4639706.61208076,"15.12_3"
"2879","15.12",3,"gt-600",2015-11-14,"10:20:21 PM",41.903934,-124.203018,2015-11-14 22:20:21,400218.39303796,4639809.90474202,"15.12_3"
"2910","15.12",3,"gt-600",2015-11-15,"1:33:04 PM",41.904755,-124.205475,2015-11-15 13:33:04,400015.880542456,4639903.92132462,"15.12_3"
"2986","15.12",3,"gt-600",2015-11-16,"8:35:36 PM",41.904846,-124.204666,2015-11-16 20:35:36,400083.123350697,4639913.0822908,"15.12_3"
"3021","15.12",3,"gt-600",2015-11-17,"3:34:43 AM",41.904556,-124.204575,2015-11-17 03:34:43,400090.218965615,4639880.77767434,"15.12_3"
"3121","15.12",3,"gt-600",2015-11-18,"8:57:02 PM",41.903088,-124.204224,2015-11-18 20:57:02,400117.043749828,4639717.37730631,"15.12_3"
"3170","15.12",3,"gt-600",2015-11-19,"4:08:24 PM",41.902454,-124.205856,2015-11-19 16:08:24,399980.687624992,4639648.88622348,"15.12_3"
"3224","15.12",3,"gt-600",2015-11-20,"12:28:25 PM",41.90329,-124.205544,2015-11-20 12:28:25,400007.871331712,4639741.34326334,"15.12_3"
"3283","15.12",3,"gt-600",2015-11-21,"4:20:59 PM",41.904007,-124.205521,2015-11-21 16:20:59,400010.89791855,4639820.92473432,"15.12_3"
"3349","15.12",3,"gt-600",2015-11-22,"5:07:20 PM",41.904541,-124.205254,2015-11-22 17:07:20,400033.877078003,4639879.90337198,"15.12_3"
"3431","15.12",3,"gt-600",2015-11-23,"4:11:11 PM",41.905521,-124.203888,2015-11-23 16:11:11,400148.704845278,4639987.12132651,"15.12_3"
"3477","15.12",3,"gt-600",2015-11-24,"12:25:09 AM",41.904854,-124.202332,2015-11-24 00:25:09,400276.72452381,4639911.25423948,"15.12_3"
"3548","15.12",3,"gt-600",2015-11-25,"3:03:04 PM",41.905514,-124.203957,2015-11-25 15:03:04,400142.970936102,4639986.4244486,"15.12_3"
"3617","15.12",3,"gt-600",2015-11-26,"1:47:15 PM",41.906712,-124.204338,2015-11-26 13:47:15,400113.237713713,4640119.88170282,"15.12_3"
"3683","15.12",3,"gt-600",2015-11-27,"1:50:14 AM",41.907433,-124.204933,2015-11-27 01:50:14,400065.012747468,4640200.62726362,"15.12_3"
"3741","15.12",4,"gt-600",2015-12-06,"11:06:32 PM",41.904915,-124.205589,2015-12-06 23:06:32,400006.674732332,4639921.81897394,"15.12_4"
"3758","15.12",4,"gt-600",2015-12-07,"7:40:49 AM",41.904831,-124.205421,2015-12-07 07:40:49,400020.478053815,4639912.29663565,"15.12_4"
"3809","15.12",4,"gt-600",2015-12-08,"8:58:36 AM",41.905029,-124.205894,2015-12-08 08:58:36,399981.555126384,4639934.83197894,"15.12_4"
"3845","15.12",4,"gt-600",2015-12-09,"12:27:49 PM",41.905037,-124.205536,2015-12-09 12:27:49,400011.261085624,4639935.30281163,"15.12_4"
"3883","15.12",4,"gt-600",2015-12-10,"1:40:42 AM",41.904751,-124.205322,2015-12-10 01:40:42,400028.564583766,4639903.29886467,"15.12_4"
"15346","15.13",1,"gt-120",2016-01-09,"10:46:50 PM",41.89172,-124.20478,2016-01-09 22:46:50,400053.199939983,4638455.84081851,"15.13_1"
"15361","15.13",1,"gt-120",2016-01-10,"3:57:22 PM",41.89203,-124.20432,2016-01-10 15:57:22,400091.844642487,4638489.7241665,"15.13_1"
"15446","15.14",1,"gt-120",2015-12-16,"3:21:47 PM",41.90704,-124.197006,2015-12-16 15:21:47,400721.865498945,4640147.78651824,"15.14_1"
"15510","15.14",1,"gt-120",2015-12-17,"2:57:34 PM",41.906696,-124.196655,2015-12-17 14:57:34,400750.444566356,4640109.18607009,"15.14_1"
"15528","15.14",1,"gt-120",2015-12-18,"1:05:50 AM",41.906624,-124.196594,2015-12-18 01:05:50,400755.392407736,4640101.12134558,"15.14_1"
"17056","15.14",2,"gt-120",2016-07-02,"11:44:45 AM",41.907299,-124.199074,2016-07-02 11:44:45,400550.747526554,4640178.93903586,"15.14_2"
"16641","16.15",1,"gt-120",2016-04-02,"11:16:04 PM",41.906921,-124.195854,2016-04-02 23:16:04,400817.228198717,4640133.24116236,"16.15_1"
"16656","16.15",1,"gt-120",2016-04-03,"7:26:28 AM",41.906868,-124.195854,2016-04-03 07:26:28,400817.146152256,4640127.35658821,"16.15_1"
"16722","16.15",1,"gt-120",2016-04-04,"11:07:57 PM",41.907227,-124.196709,2016-04-04 23:07:57,400746.788382146,4640168.20533305,"16.15_1"
"16741","16.15",1,"gt-120",2016-04-05,"6:05:48 AM",41.907192,-124.19651,2016-04-05 06:05:48,400763.239188879,4640164.08902287,"16.15_1"
"16839","16.15",1,"gt-120",2016-04-06,"10:38:35 PM",41.907463,-124.196548,2016-04-06 22:38:35,400760.507242801,4640194.22204309,"16.15_1"
"16857","16.15",1,"gt-120",2016-04-07,"7:23:16 AM",41.907616,-124.196518,2016-04-07 07:23:16,400763.232413016,4640211.17487768,"16.15_1"
"16887","16.15",1,"gt-120",2016-04-08,"12:38:03 AM",41.908474,-124.197166,2016-04-08 00:38:03,400710.817465887,4640307.18835629,"16.15_1"
"16961","16.15",1,"gt-120",2016-04-09,"7:52:21 AM",41.906643,-124.195518,2016-04-09 07:52:21,400844.665865635,4640101.98640895,"16.15_1"
"17000","16.15",1,"gt-120",2016-04-10,"2:19:38 AM",41.906738,-124.195648,2016-04-10 02:19:38,400834.030633404,4640112.68452852,"16.15_1"
"15676","16.16",1,"gt-120",2016-02-08,"6:46:04 PM",41.907257,-124.203621,2016-02-08 18:46:04,400173.555208029,4640179.55813198,"16.16_1"
"15767","16.16",1,"gt-120",2016-02-09,"3:05:36 PM",41.909203,-124.203667,2016-02-09 15:05:36,400172.772244769,4640395.67558721,"16.16_1"
"15807","16.17",1,"gt-120",2016-02-15,"9:35:10 AM",41.87886,-124.203339,2016-02-15 09:35:10,400152.721111643,4637026.32587006,"16.17_1"
"15830","16.17",1,"gt-120",2016-02-16,"9:20:19 AM",41.878536,-124.203255,2016-02-16 09:20:19,400159.186747711,4636990.25467348,"16.17_1"
"15863","16.17",1,"gt-120",2016-02-17,"6:52:55 PM",41.880753,-124.204529,2016-02-17 18:52:55,400056.929178293,4637237.88948962,"16.17_1"
"15882","16.17",1,"gt-120",2016-02-18,"1:55:06 PM",41.88092,-124.205696,2016-02-18 13:55:06,399960.358930087,4637257.79121599,"16.17_1"
"15908","16.17",1,"gt-120",2016-02-19,"4:12:04 PM",41.88092,-124.205688,2016-02-19 16:12:04,399961.022721122,4637257.78188954,"16.17_1"
"15918","16.17",1,"gt-120",2016-02-20,"2:19:51 AM",41.880928,-124.205681,2016-02-20 02:19:51,399961.616018092,4637258.66196306,"16.17_1"
"15948","16.17",1,"gt-120",2016-02-21,"7:40:28 PM",41.880035,-124.204399,2016-02-21 19:40:28,400066.59694986,4637158.01908979,"16.17_1"
"15958","16.17",1,"gt-120",2016-02-22,"1:45:57 PM",41.880276,-124.203842,2016-02-22 13:45:57,400113.189410807,4637184.12863212,"16.17_1"
"15966","16.17",1,"gt-120",2016-02-23,"12:33:53 AM",41.879608,-124.203476,2016-02-23 00:33:53,400142.518015199,4637109.53513926,"16.17_1"
"15994","16.17",1,"gt-120",2016-02-24,"11:53:15 PM",41.880161,-124.204613,2016-02-24 23:53:15,400049.036675133,4637172.25801037,"16.17_1"
"15999","16.17",1,"gt-120",2016-02-25,"8:30:07 AM",41.880169,-124.203949,2016-02-25 08:30:07,400104.144441826,4637172.37305812,"16.17_1"
"16023","16.17",2,"gt-120",2016-03-27,"10:11:01 PM",41.877048,-124.203323,2016-03-27 22:11:01,400151.227752991,4636825.12234829,"16.17_2"
"16058","16.17",2,"gt-120",2016-03-28,"6:23:37 PM",41.878014,-124.20359,2016-03-28 18:23:37,400130.57661418,4636932.68723451,"16.17_2"
"16069","16.17",2,"gt-120",2016-03-29,"12:14:50 AM",41.87756,-124.2043,2016-03-29 00:14:50,400070.95511925,4636883.106491,"16.17_2"
"16150","16.17",2,"gt-120",2016-03-30,"11:51:27 PM",41.877823,-124.204391,2016-03-30 23:51:27,400063.813909678,4636912.41313827,"16.17_2"
"16159","16.17",2,"gt-120",2016-03-31,"4:19:30 AM",41.877838,-124.204414,2016-03-31 04:19:30,400061.928791995,4636914.10536078,"16.17_2"
"16199","16.17",2,"gt-120",2016-04-01,"2:31:18 AM",41.878609,-124.205841,2016-04-01 02:31:18,399944.722214729,4637001.37168961,"16.17_2"
"16272","16.17",2,"gt-120",2016-04-02,"9:06:26 PM",41.878628,-124.20591,2016-04-02 21:06:26,399939.026454479,4637003.5616969,"16.17_2"
