"","","","","mean","n","se"
"1","all","f","kde","0.384633082428456","10","0.0577132292319023"
"2","all","f","mcp","0.258927813903809","10","0.0568075118501847"
"3","all","m","kde","0.375364666756165","6","0.0653831012188915"
"4","all","m","mcp","0.217351228108724","6","0.0703281878031059"
"5","summer","f","kde","0.359385425901876","10","0.0530852131113063"
"6","summer","f","mcp","0.228661610375977","10","0.0556962969612937"
"7","summer","m","kde","0.313200498665702","6","0.0573772692549445"
"8","summer","m","mcp","0.146504957173665","6","0.0540351373079029"
"9","winter","f","kde","0.225750797292901","6","0.027170805929144"
"10","winter","f","mcp","0.0626667085367839","6","0.0228203543660953"
"11","winter","m","kde","0.212148153177602","5","0.0229600662072454"
"12","winter","m","mcp","0.0702697976074219","5","0.0267807158123801"
"13","summer","both","kde","0.342066078188311","16","0.038750647604829"
"14","summer","both","mcp","0.19785286542511","16","0.0404192760444527"
"15","winter","both","kde","0.219567777240492","11","0.0173717393743616"
"16","winter","both","mcp","0.0661226581143466","11","0.016548783900683"
