,sex,season,method,percent,mean,se,n,,names,sd
1,f,all,kde,50,0.086849064,0.012680703,10,,f_all,0.040099903
2,m,all,kde,50,0.060960094,0.010086528,8,,m_all,0.02852901
3,f,sum,kde,50,0.079374782,0.010989401,10,,f_sum,0.034751538
4,m,sum,kde,50,0.058480467,0.013069115,8,,m_sum,0.036965038
5,f,win,kde,50,0.048483471,0.006048865,6,,f_win,0.014816633
6,m,win,kde,50,0.046908498,0.005573088,5,,m_win,0.012461804
7,f,all,kde,90,0.305760416,0.045683219,10,,f_all,0.144463024
8,m,all,kde,90,0.253670568,0.04479531,8,,m_all,0.126700269
9,f,sum,kde,90,0.287849455,0.041668982,10,,f_sum,0.131768892
10,m,sum,kde,90,0.217972473,0.039371325,8,,m_sum,0.111358925
11,f,win,kde,90,0.179792848,0.025046165,6,,f_win,0.061350323
12,m,win,kde,90,0.167333957,0.018257599,5,,m_win,0.040825233
13,f,all,kde,95,0.385677021,0.056924734,10,,f_all,0.180011814
14,m,all,kde,95,0.32900077,0.057117926,8,,m_all,0.16155389
15,f,sum,kde,95,0.363080332,0.05173639,10,,f_sum,0.16360483
16,m,sum,kde,95,0.282065893,0.048177243,8,,m_sum,0.13626582
17,f,win,kde,95,0.229121146,0.030557626,6,,f_win,0.074850592
18,m,win,kde,95,0.218516888,0.027951212,5,,m_win,0.062500809
19,f,all,mcp,95,0.260578934,0.056637519,10,,f_all,0.17910356
20,m,all,mcp,95,0.177451248,0.06043229,8,,m_all,0.170928328
21,f,sum,mcp,95,0.232379196,0.054559889,10,,f_sum,0.172533517
22,m,sum,mcp,95,0.125358555,0.046124569,8,,m_sum,0.130459982
23,f,win,mcp,95,0.063354984,0.023922669,6,,f_win,0.058598333
24,m,win,mcp,95,0.074830191,0.030234881,5,,m_win,0.06760725
25,f,all,kde,99,0.543089443,0.077568331,10,,f_all,0.245292601
26,m,all,kde,99,0.480254618,0.081954493,8,,m_all,0.231802311
27,f,sum,kde,99,0.513544328,0.070671525,10,,f_sum,0.223482985
28,m,sum,kde,99,0.415868933,0.067714664,8,,m_sum,0.191525991
29,f,win,kde,99,0.327114967,0.04056131,6,,f_win,0.099354514
30,m,win,kde,99,0.328492155,0.050068377,5,,m_win,0.111956295
