"","sex","season","method","percent","mean","sd","n","se","names"
"1","f","all","kde","50",0.0979372579414461,0.0478138601674074,6,0.0195199266738223,"f_all"
"2","m","all","kde","50",0.0762163794792311,0.0235222461569947,5,0.0105194682781046,"m_all"
"3","f","summer","kde","50",0.0822496779229283,0.046325367347617,6,0.0189122520247751,"f_summer"
"4","m","summer","kde","50",0.0716973887208702,0.0401018005828943,5,0.0179340704246985,"m_summer"
"5","f","winter","kde","50",0.0477627387727873,0.0144503154985417,6,0.00589931659894311,"f_winter"
"6","m","winter","kde","50",0.0469341890203709,0.0110573542383586,5,0.00494499914565304,"m_winter"
"7","f","all","kde","90",0.351412531892361,0.167831807595479,6,0.0685170485363145,"f_all"
"8","m","all","kde","90",0.305912255717945,0.132687536544005,5,0.0593396702958764,"m_all"
"9","f","summer","kde","90",0.319043798450687,0.158340859192689,6,0.0646423850759944,"f_summer"
"10","m","summer","kde","90",0.251458761253332,0.126195291472742,5,0.0564362500346899,"m_summer"
"11","f","winter","kde","90",0.176512374774066,0.0537036653184625,6,0.0219244295579058,"f_winter"
"12","m","winter","kde","90",0.163954146875858,0.033655121879079,5,0.0150510280625322,"m_winter"
"13","f","all","kde","95",0.441985111528066,0.207746190253666,6,0.0848120270214396,"f_all"
"14","m","all","kde","95",0.38803302271566,0.175665790970026,5,0.0785601299860495,"m_all"
"15","f","summer","kde","95",0.402294398664469,0.192852993931961,6,0.078731905083561,"f_summer"
"16","m","summer","kde","95",0.317384697740329,0.156715749972481,5,0.0700854140166656,"m_summer"
"17","f","winter","kde","95",0.225750797292901,0.0665546104265906,6,0.027170805929144,"f_winter"
"18","m","winter","kde","95",0.212148153177602,0.0513402688072966,5,0.0229600662072454,"m_winter"
"19","f","all","mcp","95",0.291696273173014,0.212403306264967,6,0.0867132866715453,"f_all"
"20","m","all","mcp","95",0.233496673730469,0.187457566905371,5,0.0838335724994249,"m_all"
"21","f","summer","mcp","95",0.252528183959961,0.208526089254886,6,0.0851304194554219,"f_summer"
"22","m","summer","mcp","95",0.149845748608398,0.147698218755513,5,0.0660526514585924,"m_summer"
"23","f","winter","mcp","95",0.0626667085367839,0.0558982239464278,6,0.0228203543660953,"f_winter"
"24","m","winter","mcp","95",0.0702697976074219,0.0598835010425855,5,0.0267807158123801,"m_winter"
"25","f","all","kde","99",0.613028644093906,0.281152309108168,6,0.114779949553377,"f_all"
"26","m","all","kde","99",0.54630658037386,0.262444921457705,5,0.117368936945804,"m_all"
"27","f","summer","kde","99",0.563752335105663,0.258249587550231,6,0.10542995263038,"f_summer"
"28","m","summer","kde","99",0.4510093600428,0.222556040532681,5,0.0995300870868546,"m_summer"
"29","f","winter","kde","99",0.325356938988712,0.092509857682774,6,0.0377669912500478,"f_winter"
"30","m","winter","kde","99",0.315994327453627,0.0938411555884469,5,0.0419670405965803,"m_winter"
