"","id","percent","area","season","method"
"1","15.01","95",0.5352995,"sum","mcp"
"2","15.02","95",0.2720525,"sum","mcp"
"3","15.03","95",0.242454,"sum","mcp"
"4","15.04","95",3.8367165,"sum","mcp"
"5","15.05","95",0.07192,"sum","mcp"
"6","15.06","95",0.129801,"sum","mcp"
"7","15.07","95",0.1796445,"sum","mcp"
"8","15.08","95",0.1329805,"sum","mcp"
"9","15.09","95",0.187395,"sum","mcp"
"10","15.10","95",0.379582,"sum","mcp"
"11","15.11","95",0.077235,"sum","mcp"
"12","15.12","95",0.452177071044922,"sum","mcp"
"13","15.13","95",0.0231595,"sum","mcp"
"14","15.14","95",0.393873756347656,"sum","mcp"
"15","16.15","95",0.0352932609863281,"sum","mcp"
"16","16.17","95",0.0895813845214844,"sum","mcp"
"17","16.18","95",0.0141058863525391,"sum","mcp"
"18","16.19","95",0.0374948841552734,"sum","mcp"
"19","16.20","95",0.0726106512451172,"sum","mcp"
