"","id","percent","area","season","method"
"1","15.01","95",0.156089813842773,"win","mcp"
"2","15.02","95",0.0186496745605469,"win","mcp"
"3","15.03","95",0.158591142089844,"win","mcp"
"4","15.07","95",0.08718,"win","mcp"
"5","15.11","95",0.0373065,"win","mcp"
"6","15.12","95",0.0927972468261719,"win","mcp"
"7","15.13","95",0.0110466793212891,"win","mcp"
"8","15.14","95",0.137504,"win","mcp"
"9","16.15","95",0.020706,"win","mcp"
"10","16.17","95",0.0143664873046875,"win","mcp"
"11","16.18","95",0.0200433106689453,"win","mcp"
