"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",1,"beach",-4.26784621886361,-2.88109951517626,-1.38674670368735
"2","15.01",1,"beachgrass dune",-2.52244602574969,-1.80874493445105,-0.71370109129864
"3","15.01",1,"coastal scrub",-1.50721458770508,-2.08550445755819,0.578289869853116
"4","15.01",1,"conifer forest",-1.38087530576288,-1.57390468741676,0.193029381653881
"5","15.01",1,"fruit tree",-6.10085459151543,-9.74169833945063,3.6408437479352
"6","15.01",1,"marsh",-2.39070475620101,-2.33934124579769,-0.0513635104033194
"7","15.01",1,"meadow",-2.0330332202353,-2.54654126204364,0.513508041808336
"8","15.01",1,"pasture",-2.14119173572774,-2.15977769110853,0.0185859553807859
"9","15.01",1,"swale",-2.40150111547824,-1.84240730853643,-0.559093806941807
"10","15.02",1,"beach",-3.6801713490666,-2.88109951517626,-0.799071833890344
"11","15.02",1,"beachgrass dune",-1.63861019030015,-1.80874493445105,0.170134744150897
"12","15.02",1,"coastal scrub",-1.194297539512,-2.08550445755819,0.891206918046194
"13","15.02",1,"conifer forest",-2.18042825110275,-1.57390468741676,-0.60652356368599
"14","15.02",1,"fruit tree",0,-9.74169833945063,9.74169833945063
"15","15.02",1,"marsh",-4.9736340636947,-2.33934124579769,-2.63429281789701
"16","15.02",1,"meadow",-2.82354823621084,-2.54654126204364,-0.277006974167203
"17","15.02",1,"pasture",-2.54185507407127,-2.15977769110853,-0.382077382962742
"18","15.02",1,"swale",-1.51599898930715,-1.84240730853643,0.326408319229282
"19","15.03",1,"beach",0,-2.88109951517626,2.88109951517626
"20","15.03",1,"beachgrass dune",-3.2333257360706,-1.80874493445105,-1.42458080161955
"21","15.03",1,"coastal scrub",-1.41109334539066,-2.08550445755819,0.674411112167534
"22","15.03",1,"conifer forest",-1.68431280367597,-1.57390468741676,-0.110408116259207
"23","15.03",1,"fruit tree",0,-9.74169833945063,9.74169833945063
"24","15.03",1,"marsh",-3.15691797146023,-2.33934124579769,-0.817576725662542
"25","15.03",1,"meadow",-1.41956894805329,-2.54654126204364,1.12697231399035
"26","15.03",1,"pasture",0,-2.15977769110853,2.15977769110853
"27","15.03",1,"swale",-1.399377569752,-1.84240730853643,0.443029738784432
"28","15.04",1,"beach",0,-2.88109951517626,2.88109951517626
"29","15.04",1,"beachgrass dune",-11.6161204215059,-1.80874493445105,-9.80737548705485
"30","15.04",1,"coastal scrub",-2.92476654426959,-2.08550445755819,-0.839262086711402
"31","15.04",1,"conifer forest",-1.74970798906993,-1.57390468741676,-0.175803301653169
"32","15.04",1,"fruit tree",0,-9.74169833945063,9.74169833945063
"33","15.04",1,"marsh",-4.06546167081725,-2.33934124579769,-1.72612042501955
"34","15.04",1,"meadow",-1.41626456538801,-2.54654126204364,1.13027669665563
"35","15.04",1,"pasture",0,-2.15977769110853,2.15977769110853
"36","15.04",1,"swale",-0.668034394199906,-1.84240730853643,1.17437291433652
"37","15.05",1,"beach",0,-2.88109951517626,2.88109951517626
"38","15.05",1,"beachgrass dune",-9.09875947982757,-1.80874493445105,-7.29001454537653
"39","15.05",1,"coastal scrub",-2.55681683694438,-2.08550445755819,-0.471312379386188
"40","15.05",1,"conifer forest",-1.58847592608062,-1.57390468741676,-0.0145712386638603
"41","15.05",1,"fruit tree",-6.17301899439828,-9.74169833945063,3.56867934505236
"42","15.05",1,"marsh",-1.64836457451041,-2.33934124579769,0.690976671287279
"43","15.05",1,"meadow",-1.54826769821103,-2.54654126204364,0.998273563832607
"44","15.05",1,"pasture",-2.1021420949926,-2.15977769110853,0.0576355961159298
"45","15.05",1,"swale",-1.66685096617593,-1.84240730853643,0.175556342360504
"46","15.06",1,"beach",-2.16109713426246,-2.88109951517626,0.720002380913798
"47","15.06",1,"beachgrass dune",-2.54012857895771,-1.80874493445105,-0.731383644506664
"48","15.06",1,"coastal scrub",-2.37445772538305,-2.08550445755819,-0.288953267824858
"49","15.06",1,"conifer forest",-5.37038874336141,-1.57390468741676,-3.79648405594465
"50","15.06",1,"fruit tree",0,-9.74169833945063,9.74169833945063
