"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",1,"beach",-4.26784621886361,-3.27091658374762,-0.996929635115989
"2","15.01",1,"beachgrass dune",-2.52244602574969,-2.13441400639106,-0.38803201935863
"3","15.01",1,"coastal scrub",-1.50721458770508,-1.70641108660579,0.199196498900712
"4","15.01",1,"conifer forest",-1.38087530576288,-1.59935473346269,0.218479427699816
"5","15.01",1,"fruit tree",-6.10085459151543,-7.55946127065608,1.45860667914064
"6","15.01",1,"marsh",-2.39070475620101,-2.61584463196443,0.22513987576342
"7","15.01",1,"meadow",-2.0330332202353,-2.51130928367872,0.478276063443422
"8","15.01",1,"pasture",-2.14119173572774,-1.36122995916405,-0.779961776563691
"9","15.01",1,"swale",-2.40150111547824,-3.01517569962977,0.613674584151537
"10","15.02",1,"beach",-3.68017135977121,-2.48356536722887,-1.19660599254235
"11","15.02",1,"beachgrass dune",-1.63861020100476,-1.42893258725053,-0.209677613754234
"12","15.02",1,"coastal scrub",-1.19429755021661,-1.10742800744012,-0.0868695427764905
"13","15.02",1,"conifer forest",-2.18042826180736,-2.09311982256331,-0.0873084392440493
"14","15.02",1,"fruit tree",-18.3525909451054,NA,NA
"15","15.02",1,"marsh",-4.97363407439932,-3.508847299776,-1.46478677462331
"16","15.02",1,"meadow",-2.82354824691546,-2.95066062997171,0.127112383056251
"17","15.02",1,"pasture",-2.54185508477588,-2.40955625490129,-0.132298829874593
"18","15.02",1,"swale",-1.51599900001176,-2.97222880757501,1.45622980756324
"19","15.03",1,"beach",-18.446309991605,NA,NA
"20","15.03",1,"beachgrass dune",-3.23332576531149,-2.87405110523763,-0.359274660073859
"21","15.03",1,"coastal scrub",-1.41109337463155,-2.07186014898443,0.660766774352876
"22","15.03",1,"conifer forest",-1.68431283291686,-1.42162063978892,-0.26269219312794
"23","15.03",1,"fruit tree",-18.446309991605,NA,NA
"24","15.03",1,"marsh",-3.15691800070113,-2.68557723013905,-0.471340770562075
"25","15.03",1,"meadow",-1.41956897729418,-1.45981631421383,0.0402473369196483
"26","15.03",1,"pasture",-18.446309991605,NA,NA
"27","15.03",1,"swale",-1.39937759899289,-1.28809504760372,-0.111282551389168
"28","15.04",1,"beach",-18.1230795829645,NA,NA
"29","15.04",1,"beachgrass dune",-11.6161204619046,-10.1618754486387,-1.45424501326592
"30","15.04",1,"coastal scrub",-2.92476658466833,-3.00880659148142,0.0840400068130895
"31","15.04",1,"conifer forest",-1.74970802946867,-1.38594656907104,-0.363761460397623
"32","15.04",1,"fruit tree",-18.1230795829645,NA,NA
"33","15.04",1,"marsh",-4.06546171121598,-3.50079760745724,-0.564664103758743
"34","15.04",1,"meadow",-1.41626460578675,-1.36818247487024,-0.04808213091651
"35","15.04",1,"pasture",-18.1230795829645,NA,NA
"36","15.04",1,"swale",-0.668034434598645,-0.877595756815203,0.209561322216559
"37","15.05",1,"beach",-18.4334550638138,NA,NA
"38","15.05",1,"beachgrass dune",-9.09875948970064,-6.63660836419272,-2.46215112550792
"39","15.05",1,"coastal scrub",-2.55681684681745,-2.92480558808241,0.367988741264956
"40","15.05",1,"conifer forest",-1.58847593595369,-1.23707693251004,-0.351399003443654
"41","15.05",1,"fruit tree",-6.17301900427135,-6.35141335071188,0.17839434644053
"42","15.05",1,"marsh",-1.64836458438348,-1.95159934147781,0.303234757094329
"43","15.05",1,"meadow",-1.5482677080841,-1.58161923466936,0.0333515265852633
"44","15.05",1,"pasture",-2.10214210486567,-1.59625792417619,-0.505884180689475
