"","id","intercept","beachgrass_dune","brackish_marsh","coastal_scrub","conifer_forest","fresh_marsh","fruit","meadow","pasture","shrub_swale","wooded_swale"
"1","15.01",-8.73035677303477,0.260448945505972,0.545485088412197,0.4251783566535,0.499472912379698,1.04426896620715,1.04729632178802,0.640883987692363,0.165464694646917,0.725308580755719,0.437912164637274
"12","15.02",0,0,0,0,0,NA,NA,0,0,0,0
"21","15.03",-14.0200810074297,NA,NA,0.571275921766848,0.44747693592662,0.633004953430641,NA,0.571678944674525,NA,0.742146134792823,0.976266628752167
"28","15.04",-13.3710253123508,NA,NA,NA,-0.291659413912656,-0.452728047971897,NA,-0.0691087277622757,NA,0.188064682633806,-0.143209263469701
"34","15.05",-12.3681180927948,NA,NA,0.326547360713256,-0.357736246932022,0.338189576723041,-0.100590911577277,-0.206351900843438,-0.701503808147721,0.244639937406589,0.33809673971416
"43","15.06",0,0,NA,0,0,0,NA,0,NA,0,NA
"50","15.07",-13.391745711239,NA,NA,NA,0.199482648542761,0.0873015400266388,NA,-0.118557564320124,NA,-0.342113345552059,0.49857009938611
"56","15.08",-12.379279862589,NA,NA,-0.775331453802349,-0.733415946440597,-1.23370048191667,NA,-1.07761118193542,-0.871108709099514,0.0893102568746227,-0.225728638295001
"64","15.09",-13.156948735272,NA,NA,0.365665999427785,0.267987621938523,1.04027791708773,NA,0.385030945506254,-0.698845952158408,0.437852695466674,0.593368692376245
"72","15.1",-3.90036918798964,NA,NA,NA,-0.148467649760363,-0.0849393688723721,NA,-0.172746416764888,NA,-0.0773520830239004,-0.0258137514406877
"78","15.11",-12.4766278133376,NA,NA,NA,-0.764092611414524,-0.472706294597966,NA,-0.411678671440808,NA,-0.357008819273617,-1.04100169668865
"84","15.12",-14.1332524765065,0.457072937890785,-0.265410162782321,0.780560660765193,0.575426100107869,1.3950925466096,0.835366961046702,0.643489103362165,NA,1.34698026600849,NA
"93","15.13",-13.4016324939706,NA,NA,0.281988585771407,0.50595858144753,1.46235730537704,NA,1.04955984879978,NA,1.25332590136144,NA
"99","15.14",0,0,0,0,0,0,0,0,0,0,0
