"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",2,"beach",-5.81770370357314,-3.27091658374762,-2.54678711982552
"2","15.01",2,"beachgrass dune",-3.18829248563329,-2.13441400639106,-1.05387847924224
"3","15.01",2,"coastal scrub",-2.50201561964605,-1.70641108660579,-0.795604533040259
"4","15.01",2,"conifer forest",-1.3044126594826,-1.59935473346269,0.294942073980094
"5","15.01",2,"fruit tree",-5.91864042215973,-7.55946127065608,1.64082084849635
"6","15.01",2,"marsh",-2.0320195159902,-2.61584463196443,0.58382511597423
"7","15.01",2,"meadow",-1.75208150348345,-2.51130928367872,0.759227780195279
"8","15.01",2,"pasture",-1.76959245463433,-1.36122995916405,-0.408362495470278
"9","15.01",2,"swale",-2.07978290846135,-3.01517569962977,0.935392791168429
"10","15.02",2,"beach",-4.4989420263385,-2.48356536722887,-2.01537665910964
"11","15.02",2,"beachgrass dune",-2.03133503859141,-1.42893258725053,-0.602402451340883
"12","15.02",2,"coastal scrub",-1.35943503794007,-1.10742800744012,-0.252007030499952
"13","15.02",2,"conifer forest",-1.96603997448476,-2.09311982256331,0.127079848078555
"14","15.02",2,"marsh",-4.73930707593833,-3.508847299776,-1.23045977616233
"15","15.02",2,"meadow",-2.58922124845447,-2.95066062997171,0.361439381517235
"16","15.02",2,"pasture",-2.3075280863149,-2.40955625490129,0.102028168586391
"17","15.02",2,"swale",-1.28167200155078,-2.97222880757501,1.69055680602423
"18","15.03",2,"beachgrass dune",-5.81213300767472,-2.87405110523763,-2.93808190243709
"19","15.03",2,"coastal scrub",-2.335976387839,-2.07186014898443,-0.264116238854573
"20","15.03",2,"conifer forest",-2.22512287439676,-1.42162063978892,-0.803502234607842
"21","15.03",2,"marsh",-2.70125297623028,-2.68557723013905,-0.0156757460912282
"22","15.03",2,"meadow",-1.26628566646113,-1.45981631421383,0.193530647752699
"23","15.03",2,"swale",-0.813642113543152,-1.28809504760372,0.47445293406057
"24","15.04",2,"beachgrass dune",-11.6161204215059,-10.1618754486387,-1.45424497286718
"25","15.04",2,"coastal scrub",-2.92476654426959,-3.00880659148142,0.0840400472118281
"26","15.04",2,"conifer forest",-1.74970798906993,-1.38594656907104,-0.363761419998884
"27","15.04",2,"marsh",-4.06546167081725,-3.50079760745724,-0.564664063360004
"28","15.04",2,"meadow",-1.41626456538801,-1.36818247487024,-0.0480820905177712
"29","15.04",2,"swale",-0.668034394199906,-0.877595756815203,0.209561362615297
"30","15.05",2,"beachgrass dune",-9.09875947982757,-6.63660836419272,-2.46215111563485
"31","15.05",2,"coastal scrub",-2.55681683694438,-2.92480558808241,0.367988751138025
"32","15.05",2,"conifer forest",-1.58847592608062,-1.23707693251004,-0.351398993570585
"33","15.05",2,"fruit tree",-6.17301899439828,-6.35141335071188,0.178394356313599
"34","15.05",2,"marsh",-1.64836457451041,-1.95159934147781,0.303234766967399
"35","15.05",2,"meadow",-1.54826769821103,-1.58161923466936,0.0333515364583328
"36","15.05",2,"pasture",-2.1021420949926,-1.59625792417619,-0.505884170816405
"37","15.05",2,"swale",-1.66685096617593,-2.27598424359284,0.609133277416916
"38","15.06",2,"beach",-2.36859491390141,-1.46022177669425,-0.90837313720716
"39","15.06",2,"beachgrass dune",-2.38870939069118,-1.5106783732498,-0.878031017441386
"40","15.06",2,"coastal scrub",-2.2230036088564,-1.29167852202888,-0.931325086827518
"41","15.06",2,"conifer forest",-5.21886109569191,-3.0500263732438,-2.16883472244812
"42","15.06",2,"marsh",-2.78655253963412,-5.13850445782435,2.35195191819023
"43","15.06",2,"meadow",-0.916006092289372,-1.94705462754029,1.03104853525092
