"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",3,"beach",-3.2572342625647,-2.88109951517626,-0.376134747388444
"2","15.01",3,"beachgrass dune",-1.79085858446255,-1.80874493445105,0.0178863499884947
"3","15.01",3,"coastal scrub",-0.632628706734742,-2.08550445755819,1.45287575082345
"4","15.01",3,"conifer forest",-1.57477321664675,-1.57390468741676,-0.000868529229990811
"5","15.01",3,"fruit tree",-6.68666120547004,-9.74169833945063,3.05503713398059
"6","15.01",3,"marsh",-5.53750392121439,-2.33934124579769,-3.1981626754167
"7","15.01",3,"meadow",-3.30437001487936,-2.54654126204364,-0.757828752835719
"8","15.01",3,"pasture",-8.506911225063,-2.15977769110853,-6.34713353395447
"9","15.01",3,"swale",-4.24525361283066,-1.84240730853643,-2.40284630429423
"10","15.02",3,"beach",-2.54328057219606,-2.88109951517626,0.337818942980196
"11","15.02",3,"beachgrass dune",-0.836618067576245,-1.80874493445105,0.972126866874803
"12","15.02",3,"coastal scrub",-0.739105812541264,-2.08550445755819,1.34639864501693
"13","15.02",3,"conifer forest",-4.53955882123194,-1.57390468741676,-2.96565413381518
"14","15.02",3,"fruit tree",0,-9.74169833945063,9.74169833945063
"15","15.02",3,"marsh",-18.4141329779883,-2.33934124579769,-16.0747917321906
"16","15.02",3,"meadow",-18.4141329779883,-2.54654126204364,-15.8675917159447
"17","15.02",3,"pasture",-18.4141329779883,-2.15977769110853,-16.2543552868798
"18","15.02",3,"swale",-18.4141329779883,-1.84240730853643,-16.5717256694519
"19","15.03",3,"beach",0,-2.88109951517626,2.88109951517626
"20","15.03",3,"beachgrass dune",-2.76149688727931,-1.80874493445105,-0.952751952828259
"21","15.03",3,"coastal scrub",-1.07914293941216,-2.08550445755819,1.00636151814603
"22","15.03",3,"conifer forest",-1.44330531446163,-1.57390468741676,0.130599372955128
"23","15.03",3,"fruit tree",0,-9.74169833945063,9.74169833945063
"24","15.03",3,"marsh",-3.62946909466117,-2.33934124579769,-1.29012784886348
"25","15.03",3,"meadow",-1.53394381211468,-2.54654126204364,1.01259744992896
"26","15.03",3,"pasture",0,-2.15977769110853,2.15977769110853
"27","15.03",3,"swale",-2.13236456321511,-1.84240730853643,-0.289957254678684
"28","15.07",3,"beach",0,-2.88109951517626,2.88109951517626
"29","15.07",3,"beachgrass dune",0,-1.80874493445105,1.80874493445105
"30","15.07",3,"coastal scrub",-2.79549064446407,-2.08550445755819,-0.709986186905876
"31","15.07",3,"conifer forest",-0.86670639627372,-1.57390468741676,0.70719829114304
"32","15.07",3,"fruit tree",0,-9.74169833945063,9.74169833945063
"33","15.07",3,"marsh",-2.5858178309041,-2.33934124579769,-0.246476585106403
"34","15.07",3,"meadow",-4.17243673047623,-2.54654126204364,-1.62589546843259
"35","15.07",3,"pasture",0,-2.15977769110853,2.15977769110853
"36","15.07",3,"swale",-0.849023928925191,-1.84240730853643,0.993383379611239
"37","15.11",3,"beach",0,-2.88109951517626,2.88109951517626
"38","15.11",3,"beachgrass dune",0,-1.80874493445105,1.80874493445105
"39","15.11",3,"coastal scrub",-2.04140902178315,-2.08550445755819,0.0440954357750432
