"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",3,"beach",-3.2572342625647,-3.27091658374762,0.0136823211829182
"2","15.01",3,"beachgrass dune",-1.79085858446255,-2.13441400639106,0.343555421928505
"3","15.01",3,"coastal scrub",-0.632628706734742,-1.70641108660579,1.07378237987105
"4","15.01",3,"conifer forest",-1.57477321664675,-1.59935473346269,0.024581516815944
"5","15.01",3,"fruit tree",-6.68666120547004,-7.55946127065608,0.872800065186034
"6","15.01",3,"marsh",-5.53750392121439,-2.61584463196443,-2.92165928924996
"7","15.01",3,"meadow",-3.30437001487936,-2.51130928367872,-0.793060731200633
"8","15.01",3,"pasture",-8.506911225063,-1.36122995916405,-7.14568126589895
"9","15.01",3,"swale",-4.24525361283066,-3.01517569962977,-1.23007791320089
"10","15.02",3,"beach",-2.54328058226175,-2.48356536722887,-0.0597152150328881
"11","15.02",3,"beachgrass dune",-0.836618077641937,-1.42893258725053,0.592314509608594
"12","15.02",3,"coastal scrub",-0.739105822606956,-1.10742800744012,0.368322184833166
"13","15.02",3,"conifer forest",-4.53955883129763,-2.09311982256331,-2.44643900873431
"14","15.02",3,"fruit tree",-18.414132988054,NA,NA
"15","15.02",3,"marsh",-18.414132988054,-3.508847299776,-14.905285688278
"16","15.02",3,"meadow",-18.414132988054,-2.95066062997171,-15.4634723580823
"17","15.02",3,"pasture",-18.414132988054,-2.40955625490129,-16.0045767331527
"18","15.02",3,"swale",-18.414132988054,-2.97222880757501,-15.441904180479
"19","15.03",3,"beach",-18.447596419506,NA,NA
"20","15.03",3,"beachgrass dune",-2.76149691648261,-2.87405110523763,0.112554188755026
"21","15.03",3,"coastal scrub",-1.07914296861546,-2.07186014898443,0.992717180368965
"22","15.03",3,"conifer forest",-1.44330534366493,-1.42162063978892,-0.0216847038760124
"23","15.03",3,"fruit tree",-18.447596419506,NA,NA
"24","15.03",3,"marsh",-3.62946912386447,-2.68557723013905,-0.943891893725418
"25","15.03",3,"meadow",-1.53394384131798,-1.45981631421383,-0.0741275271041475
"26","15.03",3,"pasture",-18.447596419506,NA,NA
"27","15.03",3,"swale",-2.13236459241841,-1.28809504760372,-0.844269544814693
"28","15.07",3,"beach",-18.4490829365893,NA,NA
"29","15.07",3,"beachgrass dune",-18.4490829365893,NA,NA
"30","15.07",3,"coastal scrub",-2.79549068334396,-2.20152090477045,-0.593969778573513
"31","15.07",3,"conifer forest",-0.866706435153615,-0.680748792025869,-0.185957643127746
"32","15.07",3,"fruit tree",-18.4490829365893,NA,NA
"33","15.07",3,"marsh",-2.58581786978399,-2.33152263826709,-0.254295231516899
"34","15.07",3,"meadow",-4.17243676935613,-3.72507388210649,-0.447362887249639
"35","15.07",3,"pasture",-18.4490829365893,NA,NA
"36","15.07",3,"swale",-0.849023967805086,-1.33991312102479,0.490889153219702
"37","15.11",3,"beach",-18.44525881523,NA,NA
"38","15.11",3,"beachgrass dune",-18.44525881523,NA,NA
"39","15.11",3,"coastal scrub",-2.04140906081201,-2.87898047045802,0.837571409646013
"40","15.11",3,"conifer forest",-1.02212103672151,-1.15590240312141,0.133781366399903
"41","15.11",3,"fruit tree",-18.44525881523,NA,NA
"42","15.11",3,"marsh",-2.35633504521072,-2.33358967596334,-0.0227453692473807
"43","15.11",3,"meadow",-2.1261473958634,-2.02524757010733,-0.100899825756074
"44","15.11",3,"pasture",-18.44525881523,NA,NA
"45","15.11",3,"swale",-1.21651611065011,-0.915974936272148,-0.300541174377963
"46","15.12",3,"beach",-3.29633099149188,-2.78869953766024,-0.507631453831639
"47","15.12",3,"beachgrass dune",-1.46002858412614,-1.75083235163185,0.290803767505712
"48","15.12",3,"coastal scrub",-0.704474060811617,-1.190918180965,0.486444120153378
"49","15.12",3,"conifer forest",-1.44243495183795,-1.13317365379669,-0.309261298041256
"50","15.12",3,"fruit tree",-18.4406965385044,-7.36005022376777,-11.0806463147367
"51","15.12",3,"marsh",-18.4406965385044,-4.38580661917655,-14.0548899193279
"52","15.12",3,"meadow",-11.9262719249194,-2.4814591090036,-9.44481281591583
"53","15.12",3,"pasture",-18.4406965385044,-5.60538111338459,-12.8353154251198
"54","15.12",3,"swale",-10.6001358444842,-3.25632852688934,-7.34380731759486
"55","15.13",3,"beach",-5.13093719001203,-3.53013164110785,-1.60080554890419
"56","15.13",3,"beachgrass dune",-0.953860725811317,-1.42402163143796,0.470160905626642
"57","15.13",3,"coastal scrub",-0.564366706732074,-1.06167034430089,0.497303637568816
"58","15.13",3,"conifer forest",-3.92882388265882,-1.66751985453988,-2.26130402811894
"59","15.13",3,"fruit tree",-18.4397708774689,NA,NA
"60","15.13",3,"marsh",-10.0348913663339,-3.26966431028642,-6.76522705604751
"61","15.13",3,"meadow",-4.16343682660875,-2.66184047377255,-1.5015963528362
"62","15.13",3,"pasture",-18.4397708774689,NA,NA
"63","15.13",3,"swale",-5.32809231236655,-2.43584053050063,-2.89225178186592
"64","15.14",3,"beach",-9.69214990479687,-3.74990596495659,-5.94224393984028
"65","15.14",3,"beachgrass dune",-2.94056958290418,-1.73018982493612,-1.21037975796806
"66","15.14",3,"coastal scrub",-1.83909112965548,-1.20884696917331,-0.630244160482174
"67","15.14",3,"conifer forest",-1.52716126615664,-1.6098619595072,0.0827006933505656
"68","15.14",3,"fruit tree",-7.39220979544418,-7.43359847267966,0.0413886772354761
"69","15.14",3,"marsh",-2.34401040260388,-3.13733570572573,0.793325303121841
