"","id","veg","log_ud_wt","prop_area","sel"
"1","15.03","Beachgrass dune",-4.3343101801862,0.0264490929388536,-0.0133381778155391
"2","15.03","Coastal scrub",-1.65369158239467,0.126032473820509,0.0653097737368974
"3","15.03","Conifer forest",-0.835679526799086,0.288217603687352,0.145362148557598
"4","15.03","Freshwater marsh",-3.79442917358963,0.0749947345976904,-0.0524989912808894
"5","15.03","Meadow",-1.49401516795935,0.165991791317181,0.0584777694087758
"6","15.03","Shrub swale",-2.38094206584657,0.307242020933467,-0.214778591105404
"7","15.03","Wooded swale",-3.79253692284608,0.0110722827049464,0.0114660684985618
"8","15.07","Coastal scrub",-2.80223471759187,0.108030408011056,-0.0473560869740009
"9","15.07","Conifer forest",-0.86579632115364,0.502746081355732,-0.0820296875218109
"10","15.07","Freshwater marsh",-2.58486096881563,0.0989142804487957,-0.0235077177126999
"11","15.07","Meadow",-4.21288596871558,0.0199048519366817,-0.00510126798626112
"12","15.07","Shrub swale",-4.70803021352443,0.0274139048912446,-0.0183913723387015
"13","15.07","Wooded swale",-0.868985942017704,0.242990473356491,0.176386132533474
"14","15.02","Beach",-2.7077144615322,0.0839915387698201,-0.0173024857073635
"15","15.02","Beachgrass dune",-0.814362804828559,0.228621586437514,0.214299878444708
"16","15.02","Brackish marsh",-Inf,0.0301529670667709,-0.0301529670667709
"17","15.02","Coastal scrub",-0.723927589927856,0.335871920288638,0.148972321814213
"18","15.02","Conifer forest",-5.19481538545159,0.126491349966503,-0.120946110014033
"19","15.02","Meadow",-Inf,0.051809723277964,-0.051809723277964
"20","15.02","Pasture",-Inf,0.0902698285801181,-0.0902698285801181
"21","15.02","Shrub swale",-Inf,0.0300126950153547,-0.0300126950153547
"22","15.02","Wooded swale",-Inf,0.022778390597317,-0.022778390597317
"23","15.12","Beach",-2.95734621788138,0.0753583727372184,-0.0234017568182707
"24","15.12","Beachgrass dune",-1.51848614833524,0.175881037163702,0.043162197885331
"25","15.12","Brackish marsh",-Inf,0.0113198291609978,-0.0113198291609978
"26","15.12","Coastal scrub",-0.54815665261115,0.32405685958994,0.253957450536999
"27","15.12","Conifer forest",-1.89057975001505,0.273222848339993,-0.122238598003595
"28","15.12","Freshwater marsh",-Inf,0.00221318610204672,-0.00221318610204672
"29","15.12","Fruit tree",-Inf,0.000755055045269841,-0.000755055045269841
"30","15.12","Meadow",-18.8539556079027,0.0922559801592125,-0.09225597367539
"31","15.12","Pasture",-Inf,0.0027472712630432,-0.0027472712630432
"32","15.12","Shrub swale",-13.3567670488679,0.0421895604385771,-0.0421879783537168
"33","15.13","Beach",-5.30744015454649,0.0158525343178433,-0.0108979408259484
"34","15.13","Beachgrass dune",-0.942474149196807,0.243263232740725,0.146399325684673
"35","15.13","Coastal scrub",-0.564498662517701,0.310476524719579,0.258168633720526
"36","15.13","Conifer forest",-3.73474057671995,0.208663653024924,-0.184784287896427
"37","15.13","Freshwater marsh",-10.6456558308941,0.0434895349481149,-0.0434657309220903
"38","15.13","Meadow",-4.71512660792357,0.0801402552353828,-0.0711815234867337
