"","id","season","veg","log_ud_wt","log_avail","sel"
"1","15.01",3,"Beach",-3.2572342625647,-3.27091658374762,0.0136823211829182
"2","15.01",3,"Beachgrass dune",-1.79085858446255,-2.13441400639106,0.343555421928505
"3","15.01",3,"Brackish marsh",-6.73370447320609,-2.63730386217761,-4.09640061102848
"4","15.01",3,"Coastal scrub",-0.632628706734742,-1.70641108660579,1.07378237987105
"5","15.01",3,"Conifer forest",-1.57477321664675,-1.59935473346269,0.024581516815944
"6","15.01",3,"Freshwater marsh",-5.8975284120661,-6.46815547290199,0.570627060835891
"7","15.01",3,"Fruit tree",-6.68666120547004,-7.55946127065608,0.872800065186034
"8","15.01",3,"Meadow",-3.30437001487936,-2.51130928367872,-0.793060731200633
"9","15.01",3,"Pasture",-8.506911225063,-1.36122995916405,-7.14568126589895
"10","15.01",3,"Shrub swale",-4.24628039735787,-3.44833783509957,-0.797942562258304
"11","15.01",3,"Wooded swale",-11.1270901391884,-4.0605942360819,-7.06649590310649
"12","15.02",3,"Beach",-2.54328058226175,-2.48356536722887,-0.0597152150328881
"13","15.02",3,"Beachgrass dune",-0.836618077641937,-1.42893258725053,0.592314509608594
"14","15.02",3,"Brackish marsh",-18.414132988054,-3.508847299776,-14.905285688278
"15","15.02",3,"Coastal scrub",-0.739105822606956,-1.10742800744012,0.368322184833166
"16","15.02",3,"Conifer forest",-4.53955883129763,-2.09311982256331,-2.44643900873431
"17","15.02",3,"Meadow",-18.414132988054,-2.95066062997171,-15.4634723580823
"18","15.02",3,"Pasture",-18.414132988054,-2.40955625490129,-16.0045767331527
"19","15.02",3,"Shrub swale",-18.414132988054,-3.54165938114214,-14.8724736069118
"20","15.02",3,"Wooded swale",-18.414132988054,-3.80658835960453,-14.6075446284495
"21","15.03",3,"Beachgrass dune",-2.76149688727931,-2.87405110523763,0.112554217958326
"22","15.03",3,"Coastal scrub",-1.07914293941216,-2.07186014898443,0.992717209572265
"23","15.03",3,"Conifer forest",-1.44330531446163,-1.42162063978892,-0.0216846746727124
"24","15.03",3,"Freshwater marsh",-3.62946909466117,-2.68557723013905,-0.943891864522118
"25","15.03",3,"Meadow",-1.53394381211468,-1.45981631421383,-0.0741274979008475
"26","15.03",3,"Shrub swale",-2.23967355764065,-1.32111565521062,-0.918557902430037
"27","15.03",3,"Wooded swale",-4.41758211344633,-4.71518335961288,0.297601246166552
"28","15.07",3,"Coastal scrub",-2.79549064446407,-2.20152090477045,-0.593969739693618
"29","15.07",3,"Conifer forest",-0.86670639627372,-0.680748792025869,-0.18595760424785
"30","15.07",3,"Freshwater marsh",-2.5858178309041,-2.33152263826709,-0.254295192637005
"31","15.07",3,"Meadow",-4.17243673047623,-3.72507388210649,-0.447362848369743
"32","15.07",3,"Shrub swale",-4.70934593686862,-3.61182342356999,-1.09752251329862
"33","15.07",3,"Wooded swale",-0.870310097007044,-1.44874076350295,0.578430666495906
"34","15.11",3,"Coastal scrub",-2.04140902178315,-2.87898047045802,0.837571448674874
"35","15.11",3,"Conifer forest",-1.02212099769265,-1.15590240312141,0.133781405428764
"36","15.11",3,"Freshwater marsh",-2.35633500618186,-2.33358967596334,-0.0227453302185197
"37","15.11",3,"Meadow",-2.12614735683454,-2.02524757010733,-0.100899786727213
"38","15.11",3,"Shrub swale",-1.72588352228924,-1.65609785342678,-0.0697856688624534
"39","15.11",3,"Wooded swale",-2.13499805766419,-1.56425444251105,-0.570743615153132
"40","15.12",3,"Beach",-3.29633100129371,-2.78869953766024,-0.507631463633471
"41","15.12",3,"Beachgrass dune",-1.46002859392797,-1.75083235163185,0.29080375770388
"42","15.12",3,"Brackish marsh",-18.4406965483063,-4.54802129718135,-13.8926752511249
"43","15.12",3,"Coastal scrub",-0.704474070613449,-1.190918180965,0.486444110351546
"44","15.12",3,"Conifer forest",-1.44243496163978,-1.13317365379669,-0.309261307843088
"45","15.12",3,"Freshwater marsh",-18.4406965483063,-6.28465244657114,-12.1560441017351
"46","15.12",3,"Fruit tree",-18.4406965483063,-7.36005022376777,-11.0806463245385
"47","15.12",3,"Meadow",-11.9262719347213,-2.4814591090036,-9.44481282571766
"48","15.12",3,"Pasture",-18.4406965483063,-5.60538111338459,-12.8353154349217
"49","15.12",3,"Shrub swale",-10.600135854286,-3.25632852688934,-7.34380732739669
"50","15.13",3,"Beach",-5.13093718020112,-3.53013164110785,-1.60080553909328
"51","15.13",3,"Beachgrass dune",-0.953860716000408,-1.42402163143796,0.470160915437551
"52","15.13",3,"Coastal scrub",-0.564366696921165,-1.06167034430089,0.497303647379725
"53","15.13",3,"Conifer forest",-3.92882387284791,-1.66751985453988,-2.26130401830803
"54","15.13",3,"Freshwater marsh",-10.034891356523,-3.26966431028642,-6.7652270462366
"55","15.13",3,"Meadow",-4.16343681679784,-2.66184047377255,-1.50159634302529
"56","15.13",3,"Shrub swale",-5.32809230255564,-2.47656176971426,-2.85153053284138
"57","15.13",3,"Wooded swale",-18.439770867658,-5.65713753323856,-12.7826333344195
"58","15.14",3,"Beach",-9.69214990479687,-3.74990596495659,-5.94224393984028
"59","15.14",3,"Beachgrass dune",-2.94056958290418,-1.73018982493612,-1.21037975796806
"60","15.14",3,"Brackish marsh",-2.40289233091422,-3.17807490418151,0.775182573267296
"61","15.14",3,"Coastal scrub",-1.83909112965548,-1.20884696917331,-0.630244160482174
"62","15.14",3,"Conifer forest",-1.52716126615664,-1.6098619595072,0.0827006933505656
