,Animal.ID,Session,Unit.ID,Date,Time,Latitude,Longitude,Altitude,Speed,Course,Type,Distance,Essential,posix,UTM.E,UTM.N,ID_Session
34,15.12,1,gt-600,7/21/2015,8:33:33 AM,41.89864,-124.204117,18.79,288,0,0,9.45,1,7/21/2015 8:33,400118.9864,4639223.393,15.12_1
108,15.12,1,gt-600,7/22/2015,12:45:14 AM,41.899712,-124.202988,10.61,576,0,0,19.38,1,7/22/2015 0:45,400214.3072,4639341.103,15.12_1
291,15.12,1,gt-600,7/23/2015,4:08:41 PM,41.905956,-124.198853,27.09,1548,70,0,16.09,1,7/23/2015 16:08,400566.993,4640029.57,15.12_1
365,15.12,1,gt-600,7/24/2015,12:43:58 PM,41.906147,-124.198433,-49.53,4068,336,0,25.44,1,7/24/2015 12:43,400602.1247,4640050.29,15.12_1
486,15.12,1,gt-600,7/25/2015,11:00:54 PM,41.907909,-124.201141,24.99,1188,211,0,18.24,1,7/25/2015 23:00,400380.2596,4640249.066,15.12_1
502,15.12,1,gt-600,7/26/2015,1:48:23 AM,41.908165,-124.200996,8.72,1008,339,0,9.92,1,7/26/2015 1:48,400392.6838,4640277.321,15.12_1
642,15.12,1,gt-600,7/27/2015,12:25:18 PM,41.905487,-124.204102,15.74,792,32,0,11.43,1,7/27/2015 12:25,400130.9023,4639983.595,15.12_1
773,15.12,1,gt-600,7/28/2015,10:16:42 PM,41.905548,-124.204033,5.56,792,323,0,27.62,1,7/28/2015 22:16,400136.7203,4639990.288,15.12_1
822,15.12,1,gt-600,7/29/2015,10:43:41 AM,41.906124,-124.205475,8.45,540,18,0,3.95,1,7/29/2015 10:43,400018.0168,4640055.921,15.12_1
946,15.12,2,gt-600,8/4/2015,4:47:25 PM,41.906223,-124.198639,7.71,180,279,0,19.66,1,8/4/2015 16:47,400585.1567,4640058.967,15.12_2
1033,15.12,2,gt-600,8/5/2015,12:10:15 PM,41.908161,-124.20105,29.42,576,0,0,5.63,1,8/5/2015 12:10,400388.1989,4640276.94,15.12_2
1179,15.12,2,gt-600,8/6/2015,7:46:05 PM,41.906849,-124.203171,0.97,396,359,0,5.26,1,8/6/2015 19:46,400210.2426,4640133.734,15.12_2
1223,15.12,2,gt-600,8/7/2015,4:26:45 AM,41.907337,-124.199066,7.36,180,247,0,10.7,1,8/7/2015 4:26,400551.47,4640183.149,15.12_2
