"","sex","season","method","percent","mean","sd","n","se"
"1","f","all","kde","50",0.0871390569651617,0.0395608334636134,10,0.0125102339879626
"2","m","all","kde","50",0.0697237825002223,0.0263734666778413,6,0.0107669226848344
"3","f","summer","kde","50",0.0782600357846414,0.0371065360442361,10,0.0117341169978921
"4","m","summer","kde","50",0.065248227390061,0.0391927750895112,6,0.0160003834288276
"5","f","winter","kde","50",0.0477627387727873,0.0144503154985417,6,0.00589931659894311
"6","m","winter","kde","50",0.0469341890203709,0.0110573542383586,5,0.00494499914565304
"7","f","all","kde","90",0.305145504762795,0.146210434595609,10,0.0462357991005206
"8","m","all","kde","90",0.291865073061862,0.123566686152593,6,0.0504458883800807
"9","f","summer","kde","90",0.285049771406615,0.135764472873691,10,0.0429324959613009
"10","m","summer","kde","90",0.243922456757273,0.114372097054553,6,0.0466922130992884
"11","f","winter","kde","90",0.176512374774066,0.0537036653184625,6,0.0219244295579058
"12","m","winter","kde","90",0.163954146875858,0.033655121879079,5,0.0150510280625322
"13","f","all","kde","95",0.384662130108455,0.182476947328257,10,0.0577042774031868
"14","m","all","kde","95",0.375364666756165,0.160155235787029,6,0.0653831012188915
"15","f","summer","kde","95",0.359491934061873,0.167764572905431,10,0.0530518161066534
"16","m","summer","kde","95",0.313200498665702,0.140545032508895,6,0.0573772692549445
"17","f","winter","kde","95",0.225750797292901,0.0665546104265906,6,0.027170805929144
"18","m","winter","kde","95",0.212148153177602,0.0513402688072966,5,0.0229600662072454
"19","f","all","mcp","95",0.258927813903809,0.17964112565359,10,0.0568075118501847
"20","m","all","mcp","95",0.217351228108724,0.172268174652237,6,0.0703281878031059
"21","f","summer","mcp","95",0.228704660375977,0.176079532351062,10,0.055681237156666
"22","m","summer","mcp","95",0.146504957173665,0.132358514585589,6,0.0540351373079029
"23","f","winter","mcp","95",0.0626667085367839,0.0558982239464278,6,0.0228203543660953
"24","m","winter","mcp","95",0.0702697976074219,0.0598835010425855,5,0.0267807158123801
"25","f","all","kde","99",0.541103227249781,0.248352407640552,10,0.0785359270530749
"26","m","all","kde","99",0.541745698692055,0.235003572929106,6,0.0959398069012071
"27","f","summer","kde","99",0.508741504884931,0.228442184688942,10,0.07223976172819
"28","m","summer","kde","99",0.457637455730844,0.199721162766409,6,0.0815358232688416
"29","f","winter","kde","99",0.325356938988712,0.092509857682774,6,0.0377669912500478
"30","m","winter","kde","99",0.315994327453627,0.0938411555884469,5,0.0419670405965803
